2017-04-20,37
2017-03-20,37
2017-03-21,31
2017-03-30,27
2017-03-14,24
2017-02-14,23
2017-02-13,22
2017-03-13,22
2017-04-06,22
2017-03-28,21
2017-04-19,21
2017-04-12,20
2017-02-10,20
2017-04-07,20
2017-04-11,17
2017-04-18,17
2017-03-31,16
2017-04-10,15
2017-04-15,15
2017-02-20,14
2017-03-15,14
2017-04-05,13
2017-03-29,12
2017-04-14,11
2017-02-09,9
2017-02-08,9
2017-03-10,9
2017-03-27,8
2017-03-22,8
2017-04-13,8
2017-03-06,8
2017-02-16,8
2017-03-17,7
2017-03-23,7
2017-03-02,7
2017-03-16,6
2017-04-17,5
2017-02-15,5
2017-03-24,4
2017-02-17,3
2017-02-22,2
2017-03-07,2
2017-04-21,2
2017-03-01,1
2017-03-09,1
2017-03-03,1
