,username,doc,query_date_year,query_date_month,query_date_day,query_date_weekday
0,001713,ODS_UNB_0460,2017,2,10,5
1,calvin,ODS_PA_0500_P,2017,2,10,5
2,calvin,ODS_FIN_0573,2017,2,10,5
3,user1,ODS_POS_0990,2017,2,10,5
4,user1,ODS_POS_0990,2017,2,10,5
5,user1,ODS_POS_0990,2017,2,10,5
6,user1,ODS_POS_0990,2017,2,10,5
7,user1,ODS_POS_0990,2017,2,10,5
8,calvin,ODS_FIN_0740,2017,2,10,5
9,calvin,ODS_FIN_0741,2017,2,10,5
10,calvin,ODS_FIN_0742,2017,2,10,5
11,calvin,ODS_FIN_0743,2017,2,10,5
12,001751,ODS_UNB_0680,2017,2,10,5
13,NBJENIA,ODS_UNB_0680,2017,2,10,5
14,roxana,ODS_POS_7150,2017,2,10,5
15,calvin,ODS_FIN_0761,2017,2,10,5
16,roxana,ODS_POS_7150,2017,2,10,5
17,calvin,ODS_FIN_0783,2017,2,10,5
18,calvin,ODS_FIN_0784,2017,2,10,5
19,calvin,ODS_FIN_0785,2017,2,10,5
20,mPOS,FMT_POS_0070,2017,2,10,5
21,mPOS,FMT_POS_0080,2017,2,10,5
22,mPOS,FMT_POS_0090,2017,2,10,5
23,mPOS,ODS_POS_0060,2017,2,10,5
24,mPOS,FMT_POS_0310,2017,2,10,5
25,mPOS,FMT_POS_0100,2017,2,10,5
26,mPOS,FMT_POS_0110,2017,2,10,5
27,mPOS,FMT_POS_0340,2017,2,10,5
28,mPOS,FMT_POS_0130,2017,2,10,5
29,mPOS,FMT_POS_0470,2017,2,10,5
30,mPOS,FMT_POS_0150,2017,2,10,5
31,mPOS,FMT_POS_0360,2017,2,10,5
32,mPOS,FMT_POS_0180,2017,2,10,5
33,mPOS,FMT_POS_0270,2017,2,10,5
34,mPOS,FMT_POS_0290,2017,2,10,5
35,mPOS,FMT_POS_0320,2017,2,10,5
36,mPOS,FMT_POS_1570,2017,2,10,5
37,mPOS,FMT_POS_7210,2017,2,10,5
38,mPOS,FMT_POS_7220,2017,2,10,5
39,mPOS,FMT_POS_7230,2017,2,10,5
40,mPOS,ODS_POS_1670,2017,2,10,5
41,mPOS,ODS_POS_7160,2017,2,10,5
42,mPOS,FMT_PA_0850,2017,2,10,5
43,mPOS,FMT_PA_0851,2017,2,10,5
44,mPOS,FMT_PA_0852,2017,2,10,5
45,mPOS,FMT_PA_0853,2017,2,10,5
46,mPOS,FMT_PA_0854,2017,2,10,5
47,mPOS,FMT_PA_0855,2017,2,10,5
48,mPOS,FMT_PA_0930,2017,2,10,5
49,mPOS,FMT_PA_0750,2017,2,10,5
50,mPOS,FMT_PA_0780,2017,2,10,5
51,mPOS,FMT_PA_0790,2017,2,10,5
52,mPOS,FMT_PA_0710,2017,2,10,5
53,mPOS,FMT_POS_0070,2017,2,10,5
54,mPOS,FMT_POS_0080,2017,2,10,5
55,mPOS,FMT_POS_0090,2017,2,10,5
56,mPOS,ODS_POS_0060,2017,2,10,5
57,mPOS,FMT_POS_0310,2017,2,10,5
58,mPOS,FMT_POS_0100,2017,2,10,5
59,mPOS,FMT_POS_0110,2017,2,10,5
60,mPOS,FMT_POS_0340,2017,2,10,5
61,mPOS,FMT_POS_0130,2017,2,10,5
62,mPOS,FMT_POS_0470,2017,2,10,5
63,mPOS,FMT_POS_0150,2017,2,10,5
64,mPOS,FMT_POS_0360,2017,2,10,5
65,mPOS,FMT_POS_0180,2017,2,10,5
66,mPOS,FMT_POS_0270,2017,2,10,5
67,mPOS,FMT_POS_0290,2017,2,10,5
68,mPOS,FMT_POS_0320,2017,2,10,5
69,mPOS,FMT_POS_1570,2017,2,10,5
70,mPOS,FMT_POS_7210,2017,2,10,5
71,mPOS,FMT_POS_7220,2017,2,10,5
72,mPOS,FMT_POS_7230,2017,2,10,5
73,mPOS,ODS_POS_1670,2017,2,10,5
74,mPOS,ODS_POS_7160,2017,2,10,5
75,mPOS,FMT_PA_0850,2017,2,10,5
76,mPOS,FMT_PA_0851,2017,2,10,5
77,mPOS,FMT_PA_0852,2017,2,10,5
78,mPOS,FMT_PA_0853,2017,2,10,5
79,mPOS,FMT_PA_0854,2017,2,10,5
80,mPOS,FMT_PA_0855,2017,2,10,5
