2017-02-09,80
2017-03-22,54
2017-03-15,52
2017-04-07,45
2017-03-21,44
2017-03-11,40
2017-04-20,34
2017-03-09,29
2017-04-06,27
2017-03-14,16
2017-04-18,16
2017-04-10,14
2017-02-24,13
2017-03-27,13
2017-03-02,13
2017-02-18,12
2017-03-17,12
2017-03-06,10
2017-03-28,10
2017-03-13,8
2017-02-10,8
2017-04-13,7
2017-03-20,6
2017-02-13,6
2017-04-12,6
2017-03-29,5
2017-03-30,5
2017-03-03,4
2017-03-23,4
2017-04-11,4
2017-04-21,4
2017-04-19,4
2017-03-01,3
2017-02-14,3
2017-04-17,3
2017-02-21,2
2017-02-20,2
2017-02-22,1
2017-04-14,1
2017-02-23,1
2017-03-10,1
2017-03-16,1
