2017-04-05,2500
2017-04-10,1461
2017-02-17,1361
2017-03-24,1031
2017-04-14,715
2017-03-23,673
2017-03-10,669
2017-03-20,610
2017-04-13,548
2017-03-29,543
2017-02-08,506
2017-04-07,477
2017-04-20,475
2017-04-11,460
2017-03-31,455
2017-03-30,387
2017-03-21,361
2017-02-10,358
2017-03-14,354
2017-03-17,339
2017-03-28,322
2017-04-18,313
2017-02-14,288
2017-03-15,277
2017-03-02,264
2017-04-06,255
2017-02-09,252
2017-03-16,228
2017-02-13,220
2017-04-17,211
2017-02-16,206
2017-03-13,196
2017-04-21,169
2017-03-06,162
2017-03-07,161
2017-03-08,148
2017-04-12,131
2017-04-08,129
2017-03-22,122
2017-02-15,112
2017-03-03,110
2017-02-20,94
2017-03-01,93
2017-03-09,89
2017-02-24,75
2017-04-19,72
2017-02-18,72
2017-02-22,44
2017-04-03,34
2017-02-21,33
2017-03-04,32
2017-03-27,9
