2017-04-05,2719
2017-04-10,1647
2017-02-17,1475
2017-03-24,1160
2017-03-27,1017
2017-03-10,1010
2017-04-14,983
2017-03-23,884
2017-04-20,881
2017-03-31,878
2017-03-06,835
2017-03-20,832
2017-03-07,829
2017-04-07,773
2017-03-29,720
2017-04-11,688
2017-04-13,654
2017-03-15,651
2017-03-30,638
2017-02-08,594
2017-03-17,585
2017-03-21,584
2017-03-14,570
2017-03-16,553
2017-04-18,543
2017-03-28,533
2017-02-10,510
2017-02-09,494
2017-04-21,450
2017-04-06,444
2017-02-14,441
2017-03-02,435
2017-03-08,434
2017-04-17,433
2017-03-13,427
2017-04-19,425
2017-04-12,385
2017-02-13,374
2017-03-22,310
2017-02-16,308
2017-02-15,308
2017-03-03,287
2017-03-01,277
2017-03-09,276
2017-02-20,255
2017-02-22,253
2017-02-24,226
2017-03-18,201
2017-04-08,185
2017-02-23,172
2017-03-11,152
2017-02-18,142
2017-03-25,131
2017-03-04,110
2017-02-21,100
2017-04-15,64
2017-04-03,42
2017-04-04,17
2017-03-26,10
2017-04-01,6
2017-03-12,3
